271,-7,42,13055,32256,26110,0,-3841,0,1631
259,0,33,13055,32256,26110,0,-2561,0,1629
255,0,49,12287,32256,26366,0,-2305,0,1629
271,-7,42,13055,32256,26110,0,-3841,0,1631
259,0,33,13055,32256,26110,0,-2561,0,1629
255,4,45,11775,31488,26366,0,-3073,0,1628
265,-2,41,12799,31232,26622,0,-5889,0,1629
265,-3,37,12799,31232,26622,0,-7681,0,1629
268,-14,43,17151,-31744,-24578,0,0,0,1628
261,-7,42,17663,-31232,-24834,0,-1025,0,1628
253,1,39,17663,-31232,-24834,0,-2049,0,1629
261,-2,30,17663,-31232,-24578,0,-4353,0,1628
257,-3,36,18175,-30976,-20994,0,-3073,0,1629
257,-2,35,18175,-30976,-20994,0,-2305,0,1627
265,-1,47,17919,-31488,-24322,0,-1537,0,1627
257,-4,37,17151,-32000,-24834,0,-2817,0,1629
256,-2,43,19967,-29440,-16642,0,-1537,0,1627
259,2,30,19967,-29440,-16642,0,-2561,0,1629
265,-9,34,16895,-30976,-26370,0,-1025,0,1629
252,-1,28,17919,32512,-24834,0,512,0,1628
254,-7,12,17919,32512,-24834,0,-769,0,1628
249,-1,9,17407,-32256,-25602,0,-2817,0,1627
259,-5,-7,17407,-31744,-22530,0,-3585,0,1627
263,-9,5,17407,-31744,-22530,0,-2561,0,1629
258,-15,13,17407,32000,-25858,0,-3841,0,1628
252,-4,14,17919,-31744,-25090,0,-5377,0,1628
263,-12,15,17919,-31744,-25090,0,-6145,0,1629
268,-9,12,18175,-31744,-24834,0,-5633,0,1629
269,-3,-3,15871,32512,-26370,0,-4865,0,1628
268,-6,12,15871,32000,-25090,0,-4353,0,1629
261,4,19,16383,32000,-25090,0,-3841,0,1629
249,-4,30,16895,-31232,-27650,0,-1793,0,1629
255,0,28,16383,-31744,-25090,0,-2305,0,1629
262,-4,31,16383,-31744,-25090,0,0,0,1630
260,-4,24,15359,32512,-26882,0,1792,0,1628
261,-3,14,16383,-32000,-24834,0,3072,0,1627
257,-4,3,16383,-32000,-24834,0,-1793,0,1629
250,-13,7,17151,32512,-26114,0,-4353,0,1628
257,-6,-1,16383,31744,-25858,0,-2049,0,1628
256,-12,9,16383,31744,-25858,0,-1,0,1628
262,-6,8,17151,-32256,-26626,0,-1281,0,1627
251,-4,14,17663,32256,-25602,0,-8193,0,1628
260,0,15,17663,32256,-25602,0,-10497,0,1628
264,-4,12,17151,-32768,-25858,0,-2305,0,1629
260,0,17,16127,-32768,-26882,0,-4097,0,1628
261,0,10,16127,-32768,-26882,0,-6145,0,1627
260,5,-18,16639,32256,-25090,0,1792,0,1629
252,4,-27,16383,-32768,-24834,0,16640,0,1627
261,3,-66,16383,-32768,-24834,0,20480,0,1628
281,5,-125,17151,30976,-24322,0,-7169,0,1628
269,-2,-89,17151,29952,-23042,0,-8193,0,1628
270,-22,-55,17151,29952,-23042,0,-2305,0,1628
249,-23,-40,17407,30720,-22274,0,-1,0,1627
228,-29,-19,17663,29696,-25090,0,-5889,0,1629
251,-26,-36,16639,30208,-25346,0,-5121,0,1630
258,-12,-69,16639,30208,-25346,0,-4865,0,1628
265,-12,-87,17407,29696,-19458,0,-5377,0,1628
251,8,-86,18943,29696,-20226,0,-2817,0,1628
257,18,-70,18943,29696,-20226,0,-5889,0,1628
262,21,-61,17407,28928,-22786,0,-19713,0,1628
275,23,-66,17407,29696,-24066,0,-22017,0,1626
287,29,-59,17407,28928,-23042,0,-8193,0,1628
265,24,-40,18431,28928,-23042,0,6656,0,1629
249,28,-37,17407,29440,-24322,0,7936,0,1629
262,7,-39,18943,30208,-25858,0,-257,0,1629
258,7,-39,18943,30208,-25858,0,-3073,0,1629
264,-6,-23,18943,31232,-23298,0,-257,0,1628
241,-20,-11,15103,29440,-24066,0,-513,0,1629
241,-27,-8,15103,29440,-24066,0,4352,0,1628
252,-31,7,17151,30208,-24322,0,4096,0,1627
249,-20,-22,16895,30464,-25346,0,-4353,0,1628
274,-16,-52,16895,30464,-25346,0,-4353,0,1629
269,-1,-48,17919,29184,-23298,0,-3329,0,1629
271,3,-24,18687,29952,-24578,0,-11521,0,1628
258,13,-6,18687,29952,-24578,0,-14849,0,1628
276,-3,3,18687,29952,-24578,0,-6145,0,1627
258,-4,-16,18175,32512,-18690,0,3328,0,1628
257,5,-37,16127,29952,-26882,0,-7937,0,1628
264,0,-48,16127,29952,-26882,0,-9217,0,1629
251,9,-39,17663,28672,-23810,0,-3329,0,1627
256,-14,-25,16895,30208,-25346,0,-7425,0,1629
260,-8,-24,16895,30208,-25346,0,-9217,0,1629
259,-15,-36,15871,30208,-27650,0,-513,0,1630
260,-3,-32,16639,29440,-24066,0,-4609,0,1628
273,-1,-22,16639,29440,-24066,0,-12033,0,1628
262,6,-16,15103,29696,-29442,0,-4353,0,1628
252,8,-19,14591,28928,-30722,0,-5633,0,1627
258,-5,11,14591,28928,-30722,0,-18689,0,1628
235,9,47,15359,29952,-32002,0,-17665,0,1629
233,27,78,15615,31488,-31746,0,11008,0,1628
264,-12,116,15615,-32256,-28930,0,2816,0,1628
245,-17,55,16639,-32256,-28930,0,-1281,0,1628
256,1,33,15871,32512,-27394,0,-5633,0,1628
291,-5,35,17151,32256,-27138,0,-6913,0,1629
247,-2,30,17151,32256,-27138,0,-513,0,1629
263,3,-6,16383,29696,-29698,0,4864,0,1628
245,0,-40,16127,30208,-30978,0,-513,0,1629
267,5,-62,16127,30208,-30978,0,-1281,0,1628
271,-7,-46,16895,27136,-28162,0,-1537,0,1629
271,-12,-35,17151,29952,-29442,0,-1,0,1627
245,-8,-27,17151,29952,-29442,0,-4609,0,1628
230,-3,-4,15615,30208,-25346,0,-5377,0,1627
266,-11,-8,16383,31232,-30722,0,-16641,0,1629
269,3,-12,16383,31232,-30722,0,256,0,1628
245,0,-32,15615,30208,-31234,0,-513,0,1629
259,5,-26,15615,30464,-30978,0,-8193,0,1630
264,11,-14,15615,30464,-30978,0,-6657,0,1628
234,-13,-11,15871,29696,-29954,0,-1537,0,1628
266,-2,-12,16895,30720,-29442,0,-9473,0,1627
274,1,-23,16639,29696,-29698,0,-3329,0,1631
266,-6,-27,16639,29696,-29698,0,3584,0,1629
257,3,-18,15871,31232,-32002,0,2048,0,1629
235,12,-7,17663,31232,-30210,0,-7681,0,1628
251,14,-3,17663,31232,-30210,0,-14081,0,1629
261,3,14,17407,32000,-26370,0,-513,0,1629
241,-5,28,16127,31488,-27650,0,7680,0,1628
238,-5,6,16127,31488,-27650,0,-2049,0,1627
271,2,-13,16127,30976,-29954,0,-16385,0,1628
298,7,-11,17407,31488,-27138,0,-2561,0,1627
283,-2,-5,17407,31488,-27138,0,11520,0,1627
231,-3,-5,16639,30720,-28930,0,-5121,0,1629
