203,-173,-48,260,0,62,2884
203,-173,-48,260,0,62,2884
203,-173,-48,263,-3,66,2884
199,-174,-47,254,0,61,2892
199,-174,-47,265,2,66,2884
199,-174,-47,265,0,67,2884
202,-169,-47,261,-1,69,2884
202,-169,-47,264,4,68,2888
205,-164,-51,254,-8,62,2884
205,-164,-51,262,6,61,2888
205,-162,-51,261,4,61,2884
205,-162,-51,258,1,64,2884
205,-162,-51,255,-2,73,2880
198,-168,-52,263,0,64,2884
198,-168,-52,260,8,60,2884
204,-166,-49,259,-5,62,2880
204,-166,-49,252,-2,65,2888
200,-167,-50,252,3,67,2884
200,-167,-50,264,0,61,2888
200,-167,-50,263,-1,57,2888
198,-165,-51,261,-2,65,2884
198,-165,-51,259,-4,63,2880
204,-169,-52,254,2,70,2884
204,-169,-52,262,3,68,2884
205,-166,-46,261,2,60,2888
205,-166,-46,263,-4,54,2888
205,-166,-46,260,-1,66,2884
207,-170,-48,260,2,65,2888
207,-170,-48,255,-5,63,2884
203,-166,-54,258,4,64,2884
203,-166,-54,263,0,59,2880
209,-171,-45,261,-3,65,2884
209,-171,-45,265,-2,74,2884
209,-170,-52,266,1,58,2888
207,-170,-52,260,1,60,2888
207,-170,-52,259,4,63,2884
205,-167,-46,260,-6,67,2888
205,-167,-46,260,2,61,2884
202,-168,-47,266,0,61,2884
202,-168,-47,259,4,54,2880
202,-168,-47,257,-2,65,2884
196,-171,-41,263,-1,65,2880
196,-171,-41,264,-1,59,2888
198,-166,-47,265,7,61,2888
198,-166,-47,258,-1,64,2884
203,-164,-48,265,3,67,2884
203,-164,-48,263,3,69,2884
207,-162,-48,264,2,66,2884
207,-162,-48,263,-1,75,2880
207,-162,-48,263,3,52,2884
209,-165,-52,262,1,66,2884
209,-165,-52,259,-5,57,2880
200,-163,-49,248,-2,61,2888
200,-163,-49,264,-1,65,2884
203,-170,-50,256,7,60,2884
203,-170,-50,262,4,64,2884
203,-170,-50,259,-1,70,2884
202,-167,-50,261,-6,60,2880
202,-167,-50,260,0,71,2884
193,-170,-42,259,-1,58,2884
193,-170,-42,255,5,59,2884
221,-172,-48,256,0,67,2888
221,-172,-48,258,0,68,2884
221,-172,-48,265,0,64,2888
203,-166,-44,257,6,65,2888
203,-166,-44,261,-4,72,2884
203,-170,-51,260,-2,69,2880
203,-170,-51,258,-2,68,2884
202,-161,-48,254,2,57,2884
202,-161,-48,254,2,59,2888
202,-161,-48,261,-2,64,2888
203,-165,-46,262,2,60,2884
203,-165,-46,261,3,68,2884
204,-172,-51,255,0,65,2888
204,-172,-51,255,0,66,2884
202,-168,-49,261,-1,68,2880
202,-168,-49,263,5,64,2884
202,-168,-49,258,-5,56,2880
204,-171,-50,257,3,65,2884
204,-171,-50,259,1,66,2880
209,-173,-47,261,-1,60,2880
209,-173,-47,260,-8,66,2884
196,-171,-53,257,2,63,2884
196,-171,-53,267,-3,63,2884
196,-171,-53,263,3,62,2884
202,-163,-47,263,4,65,2884
202,-163,-47,257,9,52,2880
205,-168,-52,255,-2,55,2884
205,-168,-52,258,3,74,2884
206,-166,-49,267,5,58,2880
206,-166,-49,267,0,63,2884
206,-166,-49,259,-3,57,2884
206,-165,-49,251,-1,77,2884
206,-165,-49,251,0,62,2884
198,-168,-50,262,2,62,2888
198,-168,-50,260,-5,70,2880
197,-170,-51,259,3,71,2884
