257,9,32,-30977,5632,31742,0,-3585,0,1628
261,18,13,-30977,5632,31742,0,-4609,0,1628
257,9,32,-30977,5632,31742,0,-3585,0,1628
261,18,13,-30977,5632,31742,0,-4609,0,1628
272,9,21,-29441,7168,32254,0,-7937,0,27
257,9,32,-30977,5632,31742,0,-3585,0,1628
261,18,13,-30977,5632,31742,0,-4609,0,1628
272,9,21,-29441,7168,32254,0,-7937,0,1628
261,9,25,-29953,7936,31486,0,-6145,0,1627
250,5,47,-29953,7936,31486,0,-3841,0,1631
245,11,31,-24833,10496,-14594,0,-513,0,1631
261,13,26,-24833,10496,-14594,0,-1025,0,1629
269,19,15,-24833,10496,-14594,0,1024,0,1628
243,11,35,-23553,10240,-12802,0,-4353,0,1628
259,12,37,-24065,11008,-16130,0,2048,0,1628
243,6,29,-24065,11008,-16130,0,9216,0,1628
256,8,21,-25089,10496,-19458,0,3328,0,1629
252,6,22,-24065,11776,-18434,0,-513,0,1627
275,-4,40,-24065,11776,-18434,0,4864,0,1627
235,7,40,-25089,12800,-20226,0,2816,0,1627
256,16,20,-24833,13568,-16386,0,1280,0,1630
252,6,20,-24833,13568,-16386,0,11008,0,1629
233,10,33,-24065,15872,-18178,0,6400,0,1629
260,7,36,-26113,17152,-18690,0,6656,0,1629
269,6,22,-26113,17152,-18690,0,12800,0,1629
276,5,26,-25601,17408,-14082,0,12288,0,1629
264,2,32,-26625,11776,-15874,0,7680,0,1627
245,-3,34,-26625,11776,-15874,0,14592,0,1628
244,-9,44,-26881,10752,-19714,0,5888,0,1627
246,-14,25,-23809,6656,-16130,0,8704,0,1628
271,-23,18,-23809,6656,-16130,0,12032,0,1628
262,-31,21,-23553,4864,-16642,0,4864,0,1629
245,-17,33,-23297,4096,-17666,0,3840,0,1628
249,-11,32,-23297,4096,-17666,0,3840,0,1628
247,-17,21,-22017,4864,-17154,0,3328,0,1628
250,-23,23,-19201,6656,-11522,0,3072,0,1628
262,-29,26,-20737,8704,-18434,0,9216,0,1627
253,-26,33,-20737,8704,-18434,0,4608,0,1628
254,-29,28,-21505,10496,-18178,0,3584,0,1628
250,-28,23,-21761,12544,-12802,0,13568,0,1628
255,-30,28,-21761,12544,-12802,0,-1537,0,1629
242,-31,27,-23809,13568,-18690,0,-1025,0,1629
256,-35,24,-25601,14336,-22530,0,-1,0,1626
248,-30,22,-25601,14336,-22530,0,-10241,0,1628
261,-32,24,-29953,16128,-25858,0,-2561,0,1629
262,-31,32,-31489,12288,-22530,0,-769,0,1628
251,-16,33,-31233,6144,-28162,0,-4609,0,1629
256,-17,29,-31233,6144,-28162,0,-3841,0,1628
244,-19,19,-32513,256,-28162,0,512,0,1628
258,-27,22,-28929,-513,-26882,0,-8449,0,1627
251,-34,38,-28929,-513,-26882,0,-3073,0,1628
253,-28,21,-26369,-1281,-20482,0,-4865,0,1629
258,-20,25,-24321,0,-26882,0,-4865,0,1628
258,-28,27,-24321,0,-26882,0,-6145,0,1628
245,-12,27,-25089,1792,-22018,0,-2049,0,1628
251,-21,24,-22273,5120,-13058,0,-4097,0,1628
247,-19,14,-22273,5120,-13058,0,-5121,0,1629
245,-20,21,-23553,5376,-19202,0,-9473,0,1628
257,-22,30,-25601,6400,-21762,0,-7169,0,1629
247,-16,15,-25601,6400,-21762,0,-11777,0,1628
253,-5,21,-25601,4608,-20738,0,-13569,0,1628
